RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.792	0.135
Akt	0.396	0.128
EGFR	0.498	0.569
ErbB2	0.548	0.216
ErbB3	0.797	-1.000
ErbB4	0.702	0.502
InsR	1.000	0.892
IGF1R	0.772	0.520
IGF2R	0.820	-1.000
VEGFR1	0.756	-1.000
VEGFR2	-1.000	-1.000
VEGFR3	-1.000	-1.000
PDGFRa	-1.000	0.693
PDGFRb	0.432	-1.000
Met	-1.000	1.000
cKit	-1.000	-1.000
EphA2	-1.000	-1.000
TrkA	-1.000	0.522
FGFR1	0.665	-1.000
FGFR2	0.966	-1.000
FGFR3	0.562	-1.000
FGFR4	0.541	-1.000

Response (arrows)	Erk	Akt
EGF	0.000	0.000
EPR	0.000	0.000
BTC	0.103	-0.000
HRG	0.268	0.289
INS	0.000	0.000
IGF-1	0.000	0.000
IGF-2	0.000	0.000
PDGF-BB	0.000	0.000
HGF	0.000	0.000
SCF	0.000	0.000
FGF-1	0.194	-0.000
FGF-2	0.211	-0.000
NGF-beta	0.000	0.000
EFNA1	0.000	0.000
VEGF165	0.000	0.190
