RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.731	0.660
Akt	0.974	0.810
EGFR	0.378	0.577
ErbB2	0.752	0.538
ErbB3	0.837	0.622
ErbB4	0.000	0.640
InsR	0.837	0.806
IGF1R	0.386	0.570
IGF2R	0.384	0.000
VEGFR1	0.739	0.000
VEGFR2	0.000	0.000
VEGFR3	0.000	0.773
PDGFRa	0.000	0.000
PDGFRb	0.305	0.000
Met	0.000	0.000
cKit	0.438	0.000
EphA2	0.442	0.000
TrkA	0.000	0.000
FGFR1	0.843	0.000
FGFR2	0.860	0.000
FGFR3	0.000	0.000
FGFR4	1.000	0.000

Response (arrows)	Erk	Akt
EGF	0.132	0.000
EPR	0.156	0.110
BTC	0.108	0.313
HRG	0.246	0.435
INS	0.000	0.000
IGF-1	0.000	0.000
IGF-2	0.000	0.000
PDGF-BB	0.000	0.000
HGF	0.000	0.000
SCF	0.000	0.000
FGF-1	0.175	0.088
FGF-2	0.202	0.136
NGF-beta	0.000	-0.000
EFNA1	0.000	0.000
VEGF165	0.000	0.000
